n,k,operacao,p,disponibilidade_analitica,disponibilidade_simulada,erro_absoluto
3,1,Consulta (k = 1),0.0,0.0,0.0,0.0
3,1,Consulta (k = 1),0.05,0.14263,0.14293,0.00031
3,1,Consulta (k = 1),0.1,0.271,0.26713,0.00387
3,1,Consulta (k = 1),0.15,0.38588,0.3834,0.00248
3,1,Consulta (k = 1),0.2,0.488,0.48483,0.00317
3,1,Consulta (k = 1),0.25,0.57812,0.57453,0.00359
3,1,Consulta (k = 1),0.3,0.657,0.65433,0.00267
3,1,Consulta (k = 1),0.35,0.72538,0.72103,0.00434
3,1,Consulta (k = 1),0.4,0.784,0.78007,0.00393
3,1,Consulta (k = 1),0.45,0.83362,0.83183,0.00179
3,1,Consulta (k = 1),0.5,0.875,0.87377,0.00123
3,1,Consulta (k = 1),0.55,0.90887,0.90917,0.00029
3,1,Consulta (k = 1),0.6,0.936,0.93577,0.00023
3,1,Consulta (k = 1),0.65,0.95713,0.9575,0.00038
3,1,Consulta (k = 1),0.7,0.973,0.9727,0.0003
3,1,Consulta (k = 1),0.75,0.98438,0.9851,0.00072
3,1,Consulta (k = 1),0.8,0.992,0.99203,3e-05
3,1,Consulta (k = 1),0.85,0.99662,0.99637,0.00026
3,1,Consulta (k = 1),0.9,0.999,0.9991,0.0001
3,1,Consulta (k = 1),0.95,0.99987,0.99987,1e-05
3,1,Consulta (k = 1),1.0,1.0,1.0,0.0
3,2,Maioria Simples (k = 2),0.0,0.0,0.0,0.0
3,2,Maioria Simples (k = 2),0.05,0.00725,0.00717,8e-05
3,2,Maioria Simples (k = 2),0.1,0.028,0.028,0.0
3,2,Maioria Simples (k = 2),0.15,0.06075,0.05943,0.00132
3,2,Maioria Simples (k = 2),0.2,0.104,0.10357,0.00043
3,2,Maioria Simples (k = 2),0.25,0.15625,0.15703,0.00078
3,2,Maioria Simples (k = 2),0.3,0.216,0.2162,0.0002
3,2,Maioria Simples (k = 2),0.35,0.28175,0.28163,0.00012
3,2,Maioria Simples (k = 2),0.4,0.352,0.3478,0.0042
3,2,Maioria Simples (k = 2),0.45,0.42525,0.4209,0.00435
3,2,Maioria Simples (k = 2),0.5,0.5,0.49553,0.00447
3,2,Maioria Simples (k = 2),0.55,0.57475,0.5729,0.00185
3,2,Maioria Simples (k = 2),0.6,0.648,0.64653,0.00147
3,2,Maioria Simples (k = 2),0.65,0.71825,0.71843,0.00018
3,2,Maioria Simples (k = 2),0.7,0.784,0.78287,0.00113
3,2,Maioria Simples (k = 2),0.75,0.84375,0.8434,0.00035
3,2,Maioria Simples (k = 2),0.8,0.896,0.8967,0.0007
3,2,Maioria Simples (k = 2),0.85,0.93925,0.9388,0.00045
3,2,Maioria Simples (k = 2),0.9,0.972,0.97037,0.00163
3,2,Maioria Simples (k = 2),0.95,0.99275,0.99203,0.00072
3,2,Maioria Simples (k = 2),1.0,1.0,1.0,0.0
3,3,Atualização (k = 3),0.0,0.0,0.0,0.0
3,3,Atualização (k = 3),0.05,0.00013,7e-05,6e-05
3,3,Atualização (k = 3),0.1,0.001,0.0013,0.0003
3,3,Atualização (k = 3),0.15,0.00338,0.0034,2e-05
3,3,Atualização (k = 3),0.2,0.008,0.0083,0.0003
3,3,Atualização (k = 3),0.25,0.01562,0.01577,0.00014
3,3,Atualização (k = 3),0.3,0.027,0.0272,0.0002
3,3,Atualização (k = 3),0.35,0.04288,0.042,0.00088
3,3,Atualização (k = 3),0.4,0.064,0.06303,0.00097
3,3,Atualização (k = 3),0.45,0.09113,0.09033,0.00079
3,3,Atualização (k = 3),0.5,0.125,0.12247,0.00253
3,3,Atualização (k = 3),0.55,0.16638,0.16387,0.00251
3,3,Atualização (k = 3),0.6,0.216,0.2119,0.0041
3,3,Atualização (k = 3),0.65,0.27463,0.27277,0.00186
3,3,Atualização (k = 3),0.7,0.343,0.34383,0.00083
3,3,Atualização (k = 3),0.75,0.42188,0.4238,0.00193
3,3,Atualização (k = 3),0.8,0.512,0.51523,0.00323
3,3,Atualização (k = 3),0.85,0.61413,0.6166,0.00247
3,3,Atualização (k = 3),0.9,0.729,0.72913,0.00013
3,3,Atualização (k = 3),0.95,0.85738,0.85683,0.00054
3,3,Atualização (k = 3),1.0,1.0,1.0,0.0
5,1,Consulta (k = 1),0.0,0.0,0.0,0.0
5,1,Consulta (k = 1),0.05,0.22622,0.22617,5e-05
5,1,Consulta (k = 1),0.1,0.40951,0.40613,0.00338
5,1,Consulta (k = 1),0.15,0.55629,0.55573,0.00056
5,1,Consulta (k = 1),0.2,0.67232,0.67003,0.00229
5,1,Consulta (k = 1),0.25,0.7627,0.76107,0.00163
5,1,Consulta (k = 1),0.3,0.83193,0.83143,0.0005
5,1,Consulta (k = 1),0.35,0.88397,0.88283,0.00114
5,1,Consulta (k = 1),0.4,0.92224,0.9225,0.00026
5,1,Consulta (k = 1),0.45,0.94967,0.95017,0.0005
5,1,Consulta (k = 1),0.5,0.96875,0.96943,0.00068
5,1,Consulta (k = 1),0.55,0.98155,0.98143,0.00011
5,1,Consulta (k = 1),0.6,0.98976,0.98937,0.00039
5,1,Consulta (k = 1),0.65,0.99475,0.99463,0.00011
5,1,Consulta (k = 1),0.7,0.99757,0.99757,0.0
5,1,Consulta (k = 1),0.75,0.99902,0.9991,8e-05
5,1,Consulta (k = 1),0.8,0.99968,0.99973,5e-05
5,1,Consulta (k = 1),0.85,0.99992,0.99993,1e-05
5,1,Consulta (k = 1),0.9,0.99999,1.0,1e-05
5,1,Consulta (k = 1),0.95,1.0,1.0,0.0
5,1,Consulta (k = 1),1.0,1.0,1.0,0.0
5,3,Maioria Simples (k = 3),0.0,0.0,0.0,0.0
5,3,Maioria Simples (k = 3),0.05,0.00116,0.00087,0.00029
5,3,Maioria Simples (k = 3),0.1,0.00856,0.00783,0.00073
5,3,Maioria Simples (k = 3),0.15,0.02661,0.0249,0.00171
5,3,Maioria Simples (k = 3),0.2,0.05792,0.05733,0.00059
5,3,Maioria Simples (k = 3),0.25,0.10352,0.10433,0.00082
5,3,Maioria Simples (k = 3),0.3,0.16308,0.16287,0.00021
5,3,Maioria Simples (k = 3),0.35,0.23517,0.2345,0.00067
5,3,Maioria Simples (k = 3),0.4,0.31744,0.31637,0.00107
5,3,Maioria Simples (k = 3),0.45,0.40687,0.40567,0.00121
5,3,Maioria Simples (k = 3),0.5,0.5,0.49813,0.00187
5,3,Maioria Simples (k = 3),0.55,0.59313,0.59317,4e-05
5,3,Maioria Simples (k = 3),0.6,0.68256,0.6826,4e-05
5,3,Maioria Simples (k = 3),0.65,0.76483,0.76767,0.00284
5,3,Maioria Simples (k = 3),0.7,0.83692,0.83703,0.00011
5,3,Maioria Simples (k = 3),0.75,0.89648,0.89593,0.00055
5,3,Maioria Simples (k = 3),0.8,0.94208,0.9411,0.00098
5,3,Maioria Simples (k = 3),0.85,0.97339,0.97297,0.00042
5,3,Maioria Simples (k = 3),0.9,0.99144,0.99203,0.00059
5,3,Maioria Simples (k = 3),0.95,0.99884,0.99917,0.00032
5,3,Maioria Simples (k = 3),1.0,1.0,1.0,0.0
5,5,Atualização (k = 5),0.0,0.0,0.0,0.0
5,5,Atualização (k = 5),0.05,0.0,0.0,0.0
5,5,Atualização (k = 5),0.1,1e-05,0.0,1e-05
5,5,Atualização (k = 5),0.15,8e-05,0.00013,6e-05
5,5,Atualização (k = 5),0.2,0.00032,0.0003,2e-05
5,5,Atualização (k = 5),0.25,0.00098,0.00087,0.00011
5,5,Atualização (k = 5),0.3,0.00243,0.00253,0.0001
5,5,Atualização (k = 5),0.35,0.00525,0.00537,0.00011
5,5,Atualização (k = 5),0.4,0.01024,0.0105,0.00026
5,5,Atualização (k = 5),0.45,0.01845,0.018,0.00045
5,5,Atualização (k = 5),0.5,0.03125,0.03143,0.00018
5,5,Atualização (k = 5),0.55,0.05033,0.0495,0.00083
5,5,Atualização (k = 5),0.6,0.07776,0.07777,1e-05
5,5,Atualização (k = 5),0.65,0.11603,0.1163,0.00027
5,5,Atualização (k = 5),0.7,0.16807,0.16913,0.00106
5,5,Atualização (k = 5),0.75,0.2373,0.23977,0.00246
5,5,Atualização (k = 5),0.8,0.32768,0.32913,0.00145
5,5,Atualização (k = 5),0.85,0.44371,0.4436,0.00011
5,5,Atualização (k = 5),0.9,0.59049,0.58823,0.00226
5,5,Atualização (k = 5),0.95,0.77378,0.7743,0.00052
5,5,Atualização (k = 5),1.0,1.0,1.0,0.0
7,1,Consulta (k = 1),0.0,0.0,0.0,0.0
7,1,Consulta (k = 1),0.05,0.30166,0.2996,0.00206
7,1,Consulta (k = 1),0.1,0.5217,0.5165,0.0052
7,1,Consulta (k = 1),0.15,0.67942,0.67667,0.00276
7,1,Consulta (k = 1),0.2,0.79028,0.78773,0.00255
7,1,Consulta (k = 1),0.25,0.86652,0.86353,0.00298
7,1,Consulta (k = 1),0.3,0.91765,0.9162,0.00145
7,1,Consulta (k = 1),0.35,0.95098,0.9497,0.00128
7,1,Consulta (k = 1),0.4,0.97201,0.97103,0.00097
7,1,Consulta (k = 1),0.45,0.98478,0.98567,0.00089
7,1,Consulta (k = 1),0.5,0.99219,0.99283,0.00065
7,1,Consulta (k = 1),0.55,0.99626,0.9966,0.00034
7,1,Consulta (k = 1),0.6,0.99836,0.9984,4e-05
7,1,Consulta (k = 1),0.65,0.99936,0.99937,1e-05
7,1,Consulta (k = 1),0.7,0.99978,0.99973,5e-05
7,1,Consulta (k = 1),0.75,0.99994,0.99997,3e-05
7,1,Consulta (k = 1),0.8,0.99999,1.0,1e-05
7,1,Consulta (k = 1),0.85,1.0,1.0,0.0
7,1,Consulta (k = 1),0.9,1.0,1.0,0.0
7,1,Consulta (k = 1),0.95,1.0,1.0,0.0
7,1,Consulta (k = 1),1.0,1.0,1.0,0.0
7,4,Maioria Simples (k = 4),0.0,0.0,0.0,0.0
7,4,Maioria Simples (k = 4),0.05,0.00019,0.00017,3e-05
7,4,Maioria Simples (k = 4),0.1,0.00273,0.00287,0.00014
7,4,Maioria Simples (k = 4),0.15,0.0121,0.01253,0.00043
7,4,Maioria Simples (k = 4),0.2,0.03334,0.03373,0.00039
7,4,Maioria Simples (k = 4),0.25,0.07056,0.07297,0.00241
7,4,Maioria Simples (k = 4),0.3,0.12604,0.12883,0.0028
7,4,Maioria Simples (k = 4),0.35,0.19985,0.20287,0.00302
7,4,Maioria Simples (k = 4),0.4,0.28979,0.292,0.00221
7,4,Maioria Simples (k = 4),0.45,0.39171,0.3912,0.00051
7,4,Maioria Simples (k = 4),0.5,0.5,0.49733,0.00267
7,4,Maioria Simples (k = 4),0.55,0.60829,0.60867,0.00038
7,4,Maioria Simples (k = 4),0.6,0.71021,0.7107,0.00049
7,4,Maioria Simples (k = 4),0.65,0.80015,0.80023,8e-05
7,4,Maioria Simples (k = 4),0.7,0.87396,0.87397,0.0
7,4,Maioria Simples (k = 4),0.75,0.92944,0.92793,0.00151
7,4,Maioria Simples (k = 4),0.8,0.96666,0.9656,0.00106
7,4,Maioria Simples (k = 4),0.85,0.9879,0.9873,0.0006
7,4,Maioria Simples (k = 4),0.9,0.99727,0.99727,1e-05
7,4,Maioria Simples (k = 4),0.95,0.99981,0.99983,3e-05
7,4,Maioria Simples (k = 4),1.0,1.0,1.0,0.0
7,7,Atualização (k = 7),0.0,0.0,0.0,0.0
7,7,Atualização (k = 7),0.05,0.0,0.0,0.0
7,7,Atualização (k = 7),0.1,0.0,0.0,0.0
7,7,Atualização (k = 7),0.15,0.0,0.0,0.0
7,7,Atualização (k = 7),0.2,1e-05,0.0,1e-05
7,7,Atualização (k = 7),0.25,6e-05,7e-05,1e-05
7,7,Atualização (k = 7),0.3,0.00022,0.0003,8e-05
