n,k,p,disponibilidade_teorica,simulado_r1,erro_r1,simulado_r5,erro_r5,simulado_r10,erro_r10,simulado_r100,erro_r100,simulado_r10000,erro_r10000
100,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,0.02941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,0.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,0.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,0.11765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,0.14706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,0.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,0.20588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,0.23529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,0.26471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,0.29412,1.2e-05,0.0,1.2e-05,0.0,1.2e-05,0.0,1.2e-05,0.0,1.2e-05,0.0,1.2e-05
100,50,0.32353,0.000189,0.0,0.000189,0.0,0.000189,0.0,0.000189,0.0,0.000189,0.0002,1.1e-05
100,50,0.35294,0.001779,0.0,0.001779,0.0,0.001779,0.0,0.001779,0.0,0.001779,0.001,0.000779
100,50,0.38235,0.01095,0.0,0.01095,0.0,0.01095,0.0,0.01095,0.02,0.00905,0.0122,0.00125
100,50,0.41176,0.046192,0.0,0.046192,0.0,0.046192,0.0,0.046192,0.05,0.003808,0.0457,0.000492
100,50,0.44118,0.139296,0.0,0.139296,0.0,0.139296,0.0,0.139296,0.1,0.039296,0.1344,0.004896
100,50,0.47059,0.311972,1.0,0.688028,0.2,0.111972,0.2,0.111972,0.24,0.071972,0.3093,0.002672
100,50,0.5,0.539795,1.0,0.460205,0.2,0.339795,0.4,0.139795,0.48,0.059795,0.538,0.001795
100,50,0.52941,0.754953,0.0,0.754953,0.8,0.045047,0.8,0.045047,0.79,0.035047,0.7594,0.004447
100,50,0.55882,0.900351,1.0,0.099649,1.0,0.099649,1.0,0.099649,0.93,0.029649,0.9018,0.001449
100,50,0.58824,0.970171,1.0,0.029829,1.0,0.029829,1.0,0.029829,0.96,0.010171,0.9707,0.000529
100,50,0.61765,0.993665,1.0,0.006335,1.0,0.006335,1.0,0.006335,0.99,0.003665,0.993,0.000665
100,50,0.64706,0.999084,1.0,0.000916,1.0,0.000916,1.0,0.000916,1.0,0.000916,0.9993,0.000216
100,50,0.67647,0.999914,1.0,8.6e-05,1.0,8.6e-05,1.0,8.6e-05,1.0,8.6e-05,0.9999,1.4e-05
100,50,0.70588,0.999995,1.0,5e-06,1.0,5e-06,1.0,5e-06,1.0,5e-06,1.0,5e-06
100,50,0.73529,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
100,50,0.76471,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
100,50,0.79412,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
100,50,0.82353,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
100,50,0.85294,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
100,50,0.88235,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
100,50,0.91176,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
100,50,0.94118,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
100,50,0.97059,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
100,50,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
