n,k,tipo_operacao,p,disponibilidade_teorica,disponibilidade_simulada,erro_absoluto
1,1,1 Servidor Ativo (k = 1),0.0,0.0,0.0,0.0
1,1,1 Servidor Ativo (k = 1),0.0005,0.0005,0.000567,6.7e-05
1,1,1 Servidor Ativo (k = 1),0.001,0.001,0.001233,0.000233
1,1,1 Servidor Ativo (k = 1),0.002,0.002,0.002133,0.000133
1,1,1 Servidor Ativo (k = 1),0.005,0.005,0.0055,0.0005
1,1,1 Servidor Ativo (k = 1),0.01,0.01,0.0112,0.0012
1,1,1 Servidor Ativo (k = 1),0.02,0.02,0.02,0.0
1,1,1 Servidor Ativo (k = 1),0.02941,0.029412,0.029333,7.8e-05
1,1,1 Servidor Ativo (k = 1),0.05,0.05,0.049767,0.000233
1,1,1 Servidor Ativo (k = 1),0.05882,0.058824,0.058667,0.000157
1,1,1 Servidor Ativo (k = 1),0.08824,0.088235,0.0877,0.000535
1,1,1 Servidor Ativo (k = 1),0.11765,0.117647,0.1157,0.001947
1,1,1 Servidor Ativo (k = 1),0.14706,0.147059,0.145267,0.001792
1,1,1 Servidor Ativo (k = 1),0.17647,0.176471,0.175633,0.000837
1,1,1 Servidor Ativo (k = 1),0.20588,0.205882,0.205567,0.000316
1,1,1 Servidor Ativo (k = 1),0.23529,0.235294,0.236133,0.000839
1,1,1 Servidor Ativo (k = 1),0.26471,0.264706,0.265733,0.001027
1,1,1 Servidor Ativo (k = 1),0.29412,0.294118,0.2957,0.001582
1,1,1 Servidor Ativo (k = 1),0.32353,0.323529,0.325867,0.002337
1,1,1 Servidor Ativo (k = 1),0.35294,0.352941,0.356033,0.003092
1,1,1 Servidor Ativo (k = 1),0.38235,0.382353,0.3858,0.003447
1,1,1 Servidor Ativo (k = 1),0.41176,0.411765,0.4154,0.003635
1,1,1 Servidor Ativo (k = 1),0.44118,0.441176,0.443,0.001824
1,1,1 Servidor Ativo (k = 1),0.47059,0.470588,0.471733,0.001145
1,1,1 Servidor Ativo (k = 1),0.48,0.48,0.4815,0.0015
1,1,1 Servidor Ativo (k = 1),0.49,0.49,0.491833,0.001833
1,1,1 Servidor Ativo (k = 1),0.5,0.5,0.502633,0.002633
1,1,1 Servidor Ativo (k = 1),0.51,0.51,0.508167,0.001833
1,1,1 Servidor Ativo (k = 1),0.52,0.52,0.5185,0.0015
1,1,1 Servidor Ativo (k = 1),0.52941,0.529412,0.528267,0.001145
1,1,1 Servidor Ativo (k = 1),0.55882,0.558824,0.557,0.001824
1,1,1 Servidor Ativo (k = 1),0.58824,0.588235,0.5846,0.003635
1,1,1 Servidor Ativo (k = 1),0.61765,0.617647,0.6142,0.003447
1,1,1 Servidor Ativo (k = 1),0.64706,0.647059,0.643967,0.003092
1,1,1 Servidor Ativo (k = 1),0.67647,0.676471,0.674133,0.002337
1,1,1 Servidor Ativo (k = 1),0.70588,0.705882,0.7043,0.001582
1,1,1 Servidor Ativo (k = 1),0.73529,0.735294,0.734267,0.001027
1,1,1 Servidor Ativo (k = 1),0.76471,0.764706,0.763867,0.000839
1,1,1 Servidor Ativo (k = 1),0.79412,0.794118,0.794433,0.000316
1,1,1 Servidor Ativo (k = 1),0.82353,0.823529,0.824367,0.000837
1,1,1 Servidor Ativo (k = 1),0.85294,0.852941,0.854733,0.001792
1,1,1 Servidor Ativo (k = 1),0.88235,0.882353,0.8843,0.001947
1,1,1 Servidor Ativo (k = 1),0.91176,0.911765,0.9123,0.000535
1,1,1 Servidor Ativo (k = 1),0.94118,0.941176,0.941333,0.000157
1,1,1 Servidor Ativo (k = 1),0.97059,0.970588,0.970667,7.8e-05
1,1,1 Servidor Ativo (k = 1),0.995,0.995,0.9945,0.0005
1,1,1 Servidor Ativo (k = 1),0.999,0.999,0.998767,0.000233
1,1,1 Servidor Ativo (k = 1),1.0,1.0,1.0,0.0
1,1,Metade dos Servidores (k = n/2),0.0,0.0,0.0,0.0
1,1,Metade dos Servidores (k = n/2),0.0005,0.0005,0.000567,6.7e-05
1,1,Metade dos Servidores (k = n/2),0.001,0.001,0.001233,0.000233
1,1,Metade dos Servidores (k = n/2),0.002,0.002,0.002133,0.000133
1,1,Metade dos Servidores (k = n/2),0.005,0.005,0.0055,0.0005
1,1,Metade dos Servidores (k = n/2),0.01,0.01,0.0112,0.0012
1,1,Metade dos Servidores (k = n/2),0.02,0.02,0.02,0.0
1,1,Metade dos Servidores (k = n/2),0.02941,0.029412,0.029333,7.8e-05
1,1,Metade dos Servidores (k = n/2),0.05,0.05,0.049767,0.000233
1,1,Metade dos Servidores (k = n/2),0.05882,0.058824,0.058667,0.000157
1,1,Metade dos Servidores (k = n/2),0.08824,0.088235,0.0877,0.000535
1,1,Metade dos Servidores (k = n/2),0.11765,0.117647,0.1157,0.001947
1,1,Metade dos Servidores (k = n/2),0.14706,0.147059,0.145267,0.001792
1,1,Metade dos Servidores (k = n/2),0.17647,0.176471,0.175633,0.000837
1,1,Metade dos Servidores (k = n/2),0.20588,0.205882,0.205567,0.000316
1,1,Metade dos Servidores (k = n/2),0.23529,0.235294,0.236133,0.000839
1,1,Metade dos Servidores (k = n/2),0.26471,0.264706,0.265733,0.001027
1,1,Metade dos Servidores (k = n/2),0.29412,0.294118,0.2957,0.001582
1,1,Metade dos Servidores (k = n/2),0.32353,0.323529,0.325867,0.002337
1,1,Metade dos Servidores (k = n/2),0.35294,0.352941,0.356033,0.003092
1,1,Metade dos Servidores (k = n/2),0.38235,0.382353,0.3858,0.003447
1,1,Metade dos Servidores (k = n/2),0.41176,0.411765,0.4154,0.003635
1,1,Metade dos Servidores (k = n/2),0.44118,0.441176,0.443,0.001824
1,1,Metade dos Servidores (k = n/2),0.47059,0.470588,0.471733,0.001145
1,1,Metade dos Servidores (k = n/2),0.48,0.48,0.4815,0.0015
1,1,Metade dos Servidores (k = n/2),0.49,0.49,0.491833,0.001833
1,1,Metade dos Servidores (k = n/2),0.5,0.5,0.502633,0.002633
1,1,Metade dos Servidores (k = n/2),0.51,0.51,0.508167,0.001833
1,1,Metade dos Servidores (k = n/2),0.52,0.52,0.5185,0.0015
1,1,Metade dos Servidores (k = n/2),0.52941,0.529412,0.528267,0.001145
1,1,Metade dos Servidores (k = n/2),0.55882,0.558824,0.557,0.001824
1,1,Metade dos Servidores (k = n/2),0.58824,0.588235,0.5846,0.003635
1,1,Metade dos Servidores (k = n/2),0.61765,0.617647,0.6142,0.003447
1,1,Metade dos Servidores (k = n/2),0.64706,0.647059,0.643967,0.003092
1,1,Metade dos Servidores (k = n/2),0.67647,0.676471,0.674133,0.002337
1,1,Metade dos Servidores (k = n/2),0.70588,0.705882,0.7043,0.001582
1,1,Metade dos Servidores (k = n/2),0.73529,0.735294,0.734267,0.001027
