n,k,operacao,p,disponibilidade_teorica,disponibilidade_simulada,erro_absoluto
1000,1,1 Servidor Ativo (k = 1),0.0,0.0,0.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.02941,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.05882,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.08824,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.11765,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.14706,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.17647,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.20588,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.23529,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.26471,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.29412,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.32353,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.35294,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.38235,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.41176,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.44118,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.46,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.465,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.47,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.47059,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.475,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.48,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.485,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.49,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.495,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.5,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.505,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.51,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.515,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.52,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.525,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.52941,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.53,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.535,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.54,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.55882,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.58824,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.61765,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.64706,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.67647,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.70588,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.73529,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.76471,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.79412,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.82353,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.85294,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.88235,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.91176,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.94118,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.97059,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.99,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.993,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.995,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.997,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.998,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.999,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),0.9995,1.0,1.0,0.0
1000,1,1 Servidor Ativo (k = 1),1.0,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.0,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.02941,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.05882,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.08824,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.11765,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.14706,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.17647,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.20588,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.23529,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.26471,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.29412,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.32353,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.35294,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.38235,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.41176,0.0,0.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.44118,0.000107,3.3e-05,7.3e-05
1000,500,Metade dos Servidores (k = n/2),0.46,0.006159,0.005667,0.000493
1000,500,Metade dos Servidores (k = n/2),0.465,0.014436,0.014067,0.000369
1000,500,Metade dos Servidores (k = n/2),0.47,0.030886,0.0307,0.000186
1000,500,Metade dos Servidores (k = n/2),0.47059,0.033579,0.033167,0.000413
1000,500,Metade dos Servidores (k = n/2),0.475,0.060463,0.060167,0.000296
1000,500,Metade dos Servidores (k = n/2),0.48,0.108581,0.107133,0.001448
1000,500,Metade dos Servidores (k = n/2),0.485,0.179437,0.178867,0.000571
1000,500,Metade dos Servidores (k = n/2),0.49,0.273901,0.2758,0.001899
1000,500,Metade dos Servidores (k = n/2),0.495,0.387939,0.386933,0.001006
1000,500,Metade dos Servidores (k = n/2),0.5,0.512613,0.511133,0.001479
1000,500,Metade dos Servidores (k = n/2),0.505,0.636056,0.636533,0.000478
1000,500,Metade dos Servidores (k = n/2),0.51,0.74675,0.7457,0.00105
1000,500,Metade dos Servidores (k = n/2),0.515,0.836644,0.837833,0.00119
1000,500,Metade dos Servidores (k = n/2),0.52,0.902746,0.904133,0.001387
1000,500,Metade dos Servidores (k = n/2),0.525,0.946753,0.9462,0.000553
1000,500,Metade dos Servidores (k = n/2),0.52941,0.970879,0.970933,5.4e-05
1000,500,Metade dos Servidores (k = n/2),0.53,0.97327,0.9736,0.00033
1000,500,Metade dos Servidores (k = n/2),0.535,0.987728,0.988133,0.000405
1000,500,Metade dos Servidores (k = n/2),0.54,0.994858,0.995333,0.000475
1000,500,Metade dos Servidores (k = n/2),0.55882,0.999917,0.999967,5e-05
1000,500,Metade dos Servidores (k = n/2),0.58824,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.61765,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.64706,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.67647,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.70588,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.73529,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.76471,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.79412,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.82353,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.85294,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.88235,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.91176,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.94118,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.97059,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.99,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.993,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.995,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.997,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.998,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.999,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),0.9995,1.0,1.0,0.0
1000,500,Metade dos Servidores (k = n/2),1.0,1.0,1.0,0.0
1000,1000,Todos os Servidores (k = n),0.0,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.02941,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.05882,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.08824,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.11765,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.14706,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.17647,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.20588,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.23529,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.26471,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.29412,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.32353,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.35294,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.38235,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.41176,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.44118,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.46,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.465,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.47,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.47059,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.475,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.48,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.485,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.49,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.495,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.5,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.505,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.51,0.0,0.0,0.0
1000,1000,Todos os Servidores (k = n),0.515,0.0,0.0,0.0
