n,p,k,k_sobre_n,disponibilidade_teorica,disponibilidade_simulada,erro_absoluto
1000,0.2,1,0.001,1.0,1.0,0.0
1000,0.2,23,0.023,1.0,1.0,0.0
1000,0.2,46,0.046,1.0,1.0,0.0
1000,0.2,69,0.069,1.0,1.0,0.0
1000,0.2,91,0.091,1.0,1.0,0.0
1000,0.2,114,0.114,1.0,1.0,0.0
1000,0.2,137,0.137,1.0,1.0,0.0
1000,0.2,159,0.159,0.99962,0.9996,2e-05
1000,0.2,182,0.182,0.929506,0.929567,6.1e-05
1000,0.2,195,0.195,0.665803,0.6662,0.000397
1000,0.2,198,0.198,0.57535,0.575867,0.000516
1000,0.2,200,0.2,0.512614,0.510667,0.001947
1000,0.2,202,0.202,0.44972,0.4496,0.00012
1000,0.2,205,0.205,0.358442,0.358,0.000442
1000,0.2,228,0.228,0.015913,0.015333,0.000579
1000,0.2,250,0.25,6.9e-05,0.000133,6.5e-05
1000,0.2,273,0.273,0.0,0.0,0.0
1000,0.2,296,0.296,0.0,0.0,0.0
1000,0.2,318,0.318,0.0,0.0,0.0
1000,0.2,341,0.341,0.0,0.0,0.0
1000,0.2,364,0.364,0.0,0.0,0.0
1000,0.2,386,0.386,0.0,0.0,0.0
1000,0.2,409,0.409,0.0,0.0,0.0
1000,0.2,432,0.432,0.0,0.0,0.0
1000,0.2,455,0.455,0.0,0.0,0.0
1000,0.2,477,0.477,0.0,0.0,0.0
1000,0.2,500,0.5,0.0,0.0,0.0
1000,0.2,523,0.523,0.0,0.0,0.0
1000,0.2,545,0.545,0.0,0.0,0.0
1000,0.2,568,0.568,0.0,0.0,0.0
1000,0.2,591,0.591,0.0,0.0,0.0
1000,0.2,614,0.614,0.0,0.0,0.0
1000,0.2,636,0.636,0.0,0.0,0.0
1000,0.2,659,0.659,0.0,0.0,0.0
1000,0.2,682,0.682,0.0,0.0,0.0
1000,0.2,704,0.704,0.0,0.0,0.0
1000,0.2,727,0.727,0.0,0.0,0.0
1000,0.2,750,0.75,0.0,0.0,0.0
1000,0.2,772,0.772,0.0,0.0,0.0
1000,0.2,795,0.795,0.0,0.0,0.0
1000,0.2,818,0.818,0.0,0.0,0.0
1000,0.2,841,0.841,0.0,0.0,0.0
1000,0.2,863,0.863,0.0,0.0,0.0
1000,0.2,886,0.886,0.0,0.0,0.0
1000,0.2,909,0.909,0.0,0.0,0.0
1000,0.2,931,0.931,0.0,0.0,0.0
1000,0.2,954,0.954,0.0,0.0,0.0
1000,0.2,977,0.977,0.0,0.0,0.0
1000,0.2,1000,1.0,0.0,0.0,0.0
1000,0.4,1,0.001,1.0,1.0,0.0
1000,0.4,23,0.023,1.0,1.0,0.0
1000,0.4,46,0.046,1.0,1.0,0.0
1000,0.4,69,0.069,1.0,1.0,0.0
1000,0.4,91,0.091,1.0,1.0,0.0
1000,0.4,114,0.114,1.0,1.0,0.0
1000,0.4,137,0.137,1.0,1.0,0.0
1000,0.4,159,0.159,1.0,1.0,0.0
1000,0.4,182,0.182,1.0,1.0,0.0
1000,0.4,205,0.205,1.0,1.0,0.0
1000,0.4,228,0.228,1.0,1.0,0.0
1000,0.4,250,0.25,1.0,1.0,0.0
1000,0.4,273,0.273,1.0,1.0,0.0
1000,0.4,296,0.296,1.0,1.0,0.0
1000,0.4,318,0.318,1.0,1.0,0.0
1000,0.4,341,0.341,0.999947,0.999967,2e-05
1000,0.4,364,0.364,0.991032,0.991233,0.000202
1000,0.4,386,0.386,0.825286,0.8243,0.000986
1000,0.4,395,0.395,0.637999,0.6385,0.000501
1000,0.4,398,0.398,0.563269,0.561067,0.002203
1000,0.4,400,0.4,0.512015,0.5105,0.001515
1000,0.4,402,0.402,0.46059,0.458167,0.002423
1000,0.4,405,0.405,0.384982,0.383333,0.001649
1000,0.4,409,0.409,0.29111,0.2914,0.00029
1000,0.4,432,0.432,0.021322,0.020333,0.000989
1000,0.4,455,0.455,0.000235,0.000233,2e-06
1000,0.4,477,0.477,0.0,0.0,0.0
1000,0.4,500,0.5,0.0,0.0,0.0
1000,0.4,523,0.523,0.0,0.0,0.0
1000,0.4,545,0.545,0.0,0.0,0.0
1000,0.4,568,0.568,0.0,0.0,0.0
1000,0.4,591,0.591,0.0,0.0,0.0
1000,0.4,614,0.614,0.0,0.0,0.0
1000,0.4,636,0.636,0.0,0.0,0.0
1000,0.4,659,0.659,0.0,0.0,0.0
1000,0.4,682,0.682,0.0,0.0,0.0
1000,0.4,704,0.704,0.0,0.0,0.0
1000,0.4,727,0.727,0.0,0.0,0.0
1000,0.4,750,0.75,0.0,0.0,0.0
1000,0.4,772,0.772,0.0,0.0,0.0
1000,0.4,795,0.795,0.0,0.0,0.0
1000,0.4,818,0.818,0.0,0.0,0.0
1000,0.4,841,0.841,0.0,0.0,0.0
1000,0.4,863,0.863,0.0,0.0,0.0
1000,0.4,886,0.886,0.0,0.0,0.0
1000,0.4,909,0.909,0.0,0.0,0.0
1000,0.4,931,0.931,0.0,0.0,0.0
1000,0.4,954,0.954,0.0,0.0,0.0
1000,0.4,977,0.977,0.0,0.0,0.0
1000,0.4,1000,1.0,0.0,0.0,0.0
1000,0.6,1,0.001,1.0,1.0,0.0
1000,0.6,23,0.023,1.0,1.0,0.0
1000,0.6,46,0.046,1.0,1.0,0.0
1000,0.6,69,0.069,1.0,1.0,0.0
1000,0.6,91,0.091,1.0,1.0,0.0
1000,0.6,114,0.114,1.0,1.0,0.0
